"","logFC"
"B4GALT2",0.10873727
"B4GALT3",-8.2e-07
"B4GALT4",0.53374943
"B4GALT5",-0.40944166
"B4GALT6",-0.3227693
"B4GALT7",1.43916484
"B9D1",0.40879107
"B9D2",0.32900048
"BABAM1",-0.05119103
"BACE1",0.20448394
"BACE2",0.45260279
"BACH1",0.34938266
"BAD",0.22129837
"BAG1",0.10446679
"BAG2",-0.62768249
"BAG3",1.83962808
"BAG4",-0.38841108
"BAG5",0.03609888
"BAG6",0.03545532
"BAHCC1",0.12851971
"BAHD1",-0.51153904
"BAI2",-0.13547687
"BAIAP2-AS1",-0.09934969
"BAIAP2",0.34445986
"BAIAP2L1",-0.30861181
"BAK1",-0.75705199
"BAMBI",-1.12404569
"BANF1",-0.16307714
"BANP",0.42993179
"BAP1",0.12479526
"BARD1",-0.07483617
"BARX1",6.91458531
"BASP1",-0.08953228
"BAX",-0.09344223
"BAZ1A",-0.39422696
"BAZ1B",-0.28396874
"BAZ2A",0.02363123
"BAZ2B",-0.25535206
"BBC3",-0.32650025
"BBIP1",0.16399495
"BBS1",0.35589276
"BBS10",-0.08011949
"BBS12",-0.24714865
"BBS2",0.20986499
"BBS4",-0.48197834
"BBS5",0.06095734
"BBS7",-0.11643104
"BBS9",0.26071435
"BBX",0.35598207
"BCAM",0.10595211
"BCAP29",0.06144431
"BCAP31",-0.14262993
"BCAR1",0.13630943
"BCAR3",-0.56035009
"BCAS2",-0.090615
"BCAS3",-0.0370761
"BCAT1",0.32865562
"BCAT2",0.25909826
"BCCIP",-0.39540057
"BCDIN3D",-0.54655001
"BCHE",0.14048799
"BCKDHA",1.20620325
"BCKDHB",0.65208761
"BCKDK",1.12491531
"BCL10",0.05915195
"BCL2",-1.0378887
"BCL2A1",0.65269988
"BCL2L1",-0.05529336
"BCL2L12",-0.07971907
"BCL2L13",-0.2353671
"BCL2L2-PABPN1",-0.18599081
"BCL2L2",0.29920164
"BCL3",0.16035045
"BCL6",0.08888515
"BCL6B",-0.05556866
"BCL7A",-0.21635562
"BCL7B",-0.08208302
"BCL7C",0.49283187
"BCL9",-0.3489443
"BCL9L",0.4032402
"BCLAF1",0.03285996
"BCOR",0.06054891
"BCORL1",0.56582767
"BCR",0.06157788
"BCRP3",0.03487353
"BCS1L",-0.37589564
"BDH1",0.31476063
"BDH2",0.2780767
"BDNF",-0.69578047
"BDP1",-0.03086224
"BECN1",0.06798806
"BEND3",-0.98834865
"BEND5",10.2386115
